Agente,Fecha,Hora,Tema,Respondido (S/N),Resuelto,Velocidad de respuesta en segundos,Duración promedio de la llamada,Calificación de satisfacción,Duración de la llamada,Duración de la llamada en minutos,NombreDia,NombreMes
Diane,2021-01-01,9,Contract related,Y,Y,109.0,00:02:23,3.0,143,2.38,Friday,January
Becky,2021-01-01,9,Technical Support,Y,N,70.0,00:04:02,3.0,242,4.03,Friday,January
Stewart,2021-01-01,9,Contract related,Y,Y,10.0,00:02:11,3.0,131,2.18,Friday,January
Greg,2021-01-01,9,Contract related,Y,Y,53.0,00:00:37,2.0,37,0.62,Friday,January
Becky,2021-01-01,10,Payment related,Y,Y,95.0,00:01:00,3.0,60,1.0,Friday,January
Diane,2021-01-01,10,Payment related,Y,Y,24.0,00:03:40,2.0,220,3.67,Friday,January
Diane,2021-01-01,10,Payment related,Y,Y,22.0,00:00:38,4.0,38,0.63,Friday,January
Greg,2021-01-01,11,Admin Support,Y,Y,15.0,00:06:38,4.0,398,6.63,Friday,January
Jim,2021-01-01,11,Streaming,Y,Y,78.0,00:01:04,3.0,64,1.07,Friday,January
Greg,2021-01-01,11,Payment related,Y,Y,50.0,00:00:32,4.0,32,0.53,Friday,January
Joe,2021-01-01,11,Payment related,Y,Y,84.0,00:03:34,3.0,214,3.57,Friday,January
Martha,2021-01-01,11,Contract related,Y,Y,89.0,00:05:44,3.0,344,5.73,Friday,January
Becky,2021-01-01,11,Admin Support,Y,Y,48.0,00:03:47,4.0,227,3.78,Friday,January
Becky,2021-01-01,11,Admin Support,Y,Y,63.0,00:05:26,2.0,326,5.43,Friday,January
Greg,2021-01-01,11,Technical Support,Y,Y,45.0,00:05:32,5.0,332,5.53,Friday,January
Jim,2021-01-01,12,Contract related,Y,Y,101.0,00:02:27,3.0,147,2.45,Friday,January
Jim,2021-01-01,12,Technical Support,Y,Y,74.0,00:05:22,5.0,322,5.37,Friday,January
Dan,2021-01-01,12,Admin Support,Y,Y,89.0,00:05:50,5.0,350,5.83,Friday,January
Joe,2021-01-01,12,Technical Support,Y,Y,68.0,00:05:25,2.0,325,5.42,Friday,January
Diane,2021-01-01,12,Streaming,Y,Y,97.0,00:04:09,3.0,249,4.15,Friday,January
Joe,2021-01-01,12,Streaming,Y,Y,39.0,00:04:00,3.0,240,4.0,Friday,January
Martha,2021-01-01,12,Contract related,Y,Y,51.0,00:02:34,4.0,154,2.57,Friday,January
Joe,2021-01-01,12,Technical Support,Y,Y,106.0,00:02:09,4.0,129,2.15,Friday,January
Stewart,2021-01-01,12,Streaming,Y,Y,107.0,00:05:55,3.0,355,5.92,Friday,January
Joe,2021-01-01,13,Admin Support,Y,Y,22.0,00:05:08,3.0,308,5.13,Friday,January
Joe,2021-01-01,13,Streaming,Y,Y,122.0,00:02:08,4.0,128,2.13,Friday,January
Diane,2021-01-01,13,Technical Support,Y,Y,57.0,00:06:49,3.0,409,6.82,Friday,January
Jim,2021-01-01,13,Payment related,Y,N,53.0,00:01:44,2.0,104,1.73,Friday,January
Becky,2021-01-01,13,Streaming,Y,Y,119.0,00:01:31,5.0,91,1.52,Friday,January
Martha,2021-01-01,13,Technical Support,Y,N,20.0,00:01:12,2.0,72,1.2,Friday,January
Joe,2021-01-01,13,Technical Support,Y,Y,52.0,00:00:36,3.0,36,0.6,Friday,January
Stewart,2021-01-01,14,Contract related,Y,Y,74.0,00:06:41,1.0,401,6.68,Friday,January
Greg,2021-01-01,14,Technical Support,Y,Y,49.0,00:02:29,3.0,149,2.48,Friday,January
Jim,2021-01-01,14,Technical Support,Y,Y,27.0,00:02:09,5.0,129,2.15,Friday,January
Greg,2021-01-01,14,Contract related,Y,Y,100.0,00:04:54,5.0,294,4.9,Friday,January
Diane,2021-01-01,14,Technical Support,Y,Y,45.0,00:06:21,3.0,381,6.35,Friday,January
Becky,2021-01-01,14,Payment related,Y,Y,98.0,00:03:14,5.0,194,3.23,Friday,January
Diane,2021-01-01,15,Admin Support,Y,Y,25.0,00:05:13,5.0,313,5.22,Friday,January
Dan,2021-01-01,17,Admin Support,Y,Y,107.0,00:02:22,3.0,142,2.37,Friday,January
Joe,2021-01-01,17,Technical Support,Y,Y,104.0,00:03:35,5.0,215,3.58,Friday,January
Stewart,2021-01-01,17,Payment related,Y,Y,13.0,00:01:15,5.0,75,1.25,Friday,January
Dan,2021-01-01,17,Payment related,Y,Y,119.0,00:02:32,5.0,152,2.53,Friday,January
Becky,2021-01-01,17,Streaming,Y,Y,35.0,00:01:19,3.0,79,1.32,Friday,January
Dan,2021-01-01,17,Streaming,Y,Y,83.0,00:06:45,4.0,405,6.75,Friday,January
Jim,2021-01-01,17,Technical Support,Y,Y,48.0,00:02:52,2.0,172,2.87,Friday,January
Stewart,2021-01-01,17,Admin Support,Y,Y,45.0,00:03:23,5.0,203,3.38,Friday,January
Dan,2021-01-02,9,Technical Support,Y,Y,65.0,00:06:00,5.0,360,6.0,Saturday,January
Dan,2021-01-02,9,Contract related,Y,Y,50.0,00:04:26,3.0,266,4.43,Saturday,January
Diane,2021-01-02,9,Streaming,Y,Y,17.0,00:06:15,3.0,375,6.25,Saturday,January
Dan,2021-01-02,9,Streaming,Y,Y,96.0,00:06:46,1.0,406,6.77,Saturday,January
Stewart,2021-01-02,9,Streaming,Y,Y,90.0,00:06:23,3.0,383,6.38,Saturday,January
Jim,2021-01-02,9,Contract related,Y,Y,98.0,00:06:25,2.0,385,6.42,Saturday,January
Diane,2021-01-02,9,Technical Support,Y,N,90.0,00:01:23,4.0,83,1.38,Saturday,January
Jim,2021-01-02,10,Contract related,Y,Y,98.0,00:05:49,5.0,349,5.82,Saturday,January
Jim,2021-01-02,10,Contract related,Y,Y,70.0,00:03:12,5.0,192,3.2,Saturday,January
Diane,2021-01-02,10,Contract related,Y,Y,69.0,00:04:45,4.0,285,4.75,Saturday,January
Joe,2021-01-02,11,Technical Support,Y,Y,120.0,00:02:11,4.0,131,2.18,Saturday,January
Stewart,2021-01-02,11,Admin Support,Y,Y,113.0,00:05:51,5.0,351,5.85,Saturday,January
Greg,2021-01-02,11,Payment related,Y,N,10.0,00:02:19,5.0,139,2.32,Saturday,January
Becky,2021-01-02,11,Contract related,Y,Y,122.0,00:04:53,1.0,293,4.88,Saturday,January
Stewart,2021-01-02,11,Technical Support,Y,N,125.0,00:01:38,3.0,98,1.63,Saturday,January
Martha,2021-01-02,11,Technical Support,Y,Y,33.0,00:06:38,2.0,398,6.63,Saturday,January
Dan,2021-01-02,11,Contract related,Y,Y,51.0,00:06:22,2.0,382,6.37,Saturday,January
Becky,2021-01-02,11,Contract related,Y,Y,58.0,00:03:28,3.0,208,3.47,Saturday,January
Dan,2021-01-02,11,Admin Support,Y,Y,121.0,00:04:47,5.0,287,4.78,Saturday,January
Diane,2021-01-02,12,Admin Support,Y,Y,118.0,00:02:06,4.0,126,2.1,Saturday,January
Greg,2021-01-02,12,Payment related,Y,Y,52.0,00:06:56,4.0,416,6.93,Saturday,January
Stewart,2021-01-02,12,Admin Support,Y,Y,55.0,00:04:44,3.0,284,4.73,Saturday,January
Dan,2021-01-02,12,Contract related,Y,Y,68.0,00:05:59,4.0,359,5.98,Saturday,January
Becky,2021-01-02,12,Technical Support,Y,Y,106.0,00:04:22,5.0,262,4.37,Saturday,January
Martha,2021-01-02,12,Technical Support,Y,Y,32.0,00:04:36,3.0,276,4.6,Saturday,January
Martha,2021-01-02,12,Admin Support,Y,N,45.0,00:01:26,4.0,86,1.43,Saturday,January
Joe,2021-01-02,12,Technical Support,Y,Y,119.0,00:03:32,4.0,212,3.53,Saturday,January
Jim,2021-01-02,13,Contract related,Y,Y,46.0,00:05:41,1.0,341,5.68,Saturday,January
Stewart,2021-01-02,13,Technical Support,Y,Y,101.0,00:01:28,3.0,88,1.47,Saturday,January
Jim,2021-01-02,13,Technical Support,Y,Y,56.0,00:02:52,3.0,172,2.87,Saturday,January
Becky,2021-01-02,13,Technical Support,Y,Y,80.0,00:00:53,3.0,53,0.88,Saturday,January
Diane,2021-01-02,13,Streaming,Y,Y,24.0,00:01:36,3.0,96,1.6,Saturday,January
Stewart,2021-01-02,13,Payment related,Y,Y,113.0,00:03:54,2.0,234,3.9,Saturday,January
Greg,2021-01-02,13,Contract related,Y,Y,19.0,00:02:03,4.0,123,2.05,Saturday,January
Dan,2021-01-02,13,Contract related,Y,Y,45.0,00:06:37,3.0,397,6.62,Saturday,January
Diane,2021-01-02,13,Technical Support,Y,Y,95.0,00:05:11,1.0,311,5.18,Saturday,January
Martha,2021-01-02,13,Technical Support,Y,N,79.0,00:05:31,1.0,331,5.52,Saturday,January
Diane,2021-01-02,13,Payment related,Y,Y,22.0,00:03:56,2.0,236,3.93,Saturday,January
Martha,2021-01-02,13,Contract related,Y,Y,38.0,00:06:36,1.0,396,6.6,Saturday,January
Becky,2021-01-02,13,Technical Support,Y,Y,112.0,00:03:25,5.0,205,3.42,Saturday,January
Becky,2021-01-02,13,Payment related,Y,Y,65.0,00:04:57,3.0,297,4.95,Saturday,January
Becky,2021-01-02,14,Contract related,Y,N,55.0,00:02:32,1.0,152,2.53,Saturday,January
Joe,2021-01-02,14,Streaming,Y,Y,19.0,00:02:38,2.0,158,2.63,Saturday,January
Becky,2021-01-02,15,Technical Support,Y,Y,53.0,00:00:56,3.0,56,0.93,Saturday,January
Diane,2021-01-02,15,Technical Support,Y,Y,24.0,00:06:06,5.0,366,6.1,Saturday,January
Martha,2021-01-02,15,Streaming,Y,Y,73.0,00:06:01,3.0,361,6.02,Saturday,January
Jim,2021-01-02,17,Technical Support,Y,Y,55.0,00:05:47,5.0,347,5.78,Saturday,January
Martha,2021-01-02,17,Streaming,Y,Y,23.0,00:05:18,4.0,318,5.3,Saturday,January
Dan,2021-01-03,9,Payment related,Y,N,124.0,00:02:23,5.0,143,2.38,Sunday,January
Dan,2021-01-03,9,Technical Support,Y,Y,103.0,00:01:01,4.0,61,1.02,Sunday,January
Martha,2021-01-03,9,Contract related,Y,Y,69.0,00:03:45,4.0,225,3.75,Sunday,January
Joe,2021-01-03,10,Streaming,Y,Y,78.0,00:01:12,3.0,72,1.2,Sunday,January
Martha,2021-01-03,10,Technical Support,Y,Y,78.0,00:03:26,5.0,206,3.43,Sunday,January
Diane,2021-01-03,10,Payment related,Y,Y,44.0,00:05:38,4.0,338,5.63,Sunday,January
Martha,2021-01-03,10,Admin Support,Y,Y,35.0,00:02:46,4.0,166,2.77,Sunday,January
Becky,2021-01-03,10,Admin Support,Y,Y,102.0,00:05:26,4.0,326,5.43,Sunday,January
Jim,2021-01-03,10,Contract related,Y,Y,99.0,00:05:51,3.0,351,5.85,Sunday,January
Jim,2021-01-03,10,Admin Support,Y,Y,29.0,00:04:09,3.0,249,4.15,Sunday,January
Becky,2021-01-03,10,Admin Support,Y,N,42.0,00:00:59,5.0,59,0.98,Sunday,January
Diane,2021-01-03,10,Payment related,Y,Y,113.0,00:05:40,4.0,340,5.67,Sunday,January
Dan,2021-01-03,11,Admin Support,Y,Y,124.0,00:00:53,2.0,53,0.88,Sunday,January
Dan,2021-01-03,11,Payment related,Y,Y,55.0,00:02:13,1.0,133,2.22,Sunday,January
Greg,2021-01-03,11,Technical Support,Y,N,105.0,00:05:59,3.0,359,5.98,Sunday,January
Stewart,2021-01-03,11,Contract related,Y,N,112.0,00:03:12,5.0,192,3.2,Sunday,January
Becky,2021-01-03,11,Technical Support,Y,Y,43.0,00:06:20,5.0,380,6.33,Sunday,January
Joe,2021-01-03,11,Payment related,Y,Y,20.0,00:01:44,3.0,104,1.73,Sunday,January
Greg,2021-01-03,11,Technical Support,Y,Y,84.0,00:01:43,5.0,103,1.72,Sunday,January
Jim,2021-01-03,11,Contract related,Y,Y,20.0,00:02:44,4.0,164,2.73,Sunday,January
Greg,2021-01-03,11,Streaming,Y,Y,101.0,00:02:16,3.0,136,2.27,Sunday,January
Diane,2021-01-03,11,Technical Support,Y,Y,31.0,00:02:55,5.0,175,2.92,Sunday,January
Jim,2021-01-03,11,Contract related,Y,Y,56.0,00:04:09,5.0,249,4.15,Sunday,January
Joe,2021-01-03,11,Payment related,Y,Y,77.0,00:01:27,5.0,87,1.45,Sunday,January
Jim,2021-01-03,11,Payment related,Y,Y,46.0,00:00:50,4.0,50,0.83,Sunday,January
Stewart,2021-01-03,11,Admin Support,Y,Y,88.0,00:04:26,3.0,266,4.43,Sunday,January
Diane,2021-01-03,11,Payment related,Y,Y,88.0,00:00:58,1.0,58,0.97,Sunday,January
Joe,2021-01-03,12,Technical Support,Y,Y,124.0,00:06:03,1.0,363,6.05,Sunday,January
Martha,2021-01-03,12,Payment related,Y,N,52.0,00:06:59,4.0,419,6.98,Sunday,January
Joe,2021-01-03,12,Admin Support,Y,Y,67.0,00:06:10,5.0,370,6.17,Sunday,January
Martha,2021-01-03,13,Payment related,Y,Y,119.0,00:04:16,3.0,256,4.27,Sunday,January
Dan,2021-01-03,13,Admin Support,Y,Y,98.0,00:04:37,2.0,277,4.62,Sunday,January
Joe,2021-01-03,13,Technical Support,Y,Y,118.0,00:04:18,3.0,258,4.3,Sunday,January
Becky,2021-01-03,13,Admin Support,Y,Y,123.0,00:01:15,3.0,75,1.25,Sunday,January
Becky,2021-01-03,13,Streaming,Y,N,86.0,00:05:37,1.0,337,5.62,Sunday,January
Greg,2021-01-03,13,Admin Support,Y,Y,104.0,00:02:09,3.0,129,2.15,Sunday,January
Greg,2021-01-03,13,Payment related,Y,Y,69.0,00:01:33,2.0,93,1.55,Sunday,January
Dan,2021-01-03,13,Contract related,Y,Y,113.0,00:02:38,1.0,158,2.63,Sunday,January
Joe,2021-01-03,13,Streaming,Y,Y,88.0,00:03:23,5.0,203,3.38,Sunday,January
Joe,2021-01-03,14,Payment related,Y,Y,84.0,00:00:58,2.0,58,0.97,Sunday,January
Diane,2021-01-03,14,Streaming,Y,Y,113.0,00:01:22,3.0,82,1.37,Sunday,January
Joe,2021-01-03,14,Streaming,Y,Y,38.0,00:05:31,4.0,331,5.52,Sunday,January
Dan,2021-01-03,14,Streaming,Y,Y,14.0,00:06:14,4.0,374,6.23,Sunday,January
Martha,2021-01-03,15,Streaming,Y,N,25.0,00:05:32,4.0,332,5.53,Sunday,January
Joe,2021-01-03,16,Payment related,Y,Y,117.0,00:02:07,4.0,127,2.12,Sunday,January
Stewart,2021-01-03,17,Payment related,Y,N,57.0,00:06:01,2.0,361,6.02,Sunday,January
Martha,2021-01-03,17,Technical Support,Y,Y,119.0,00:05:19,5.0,319,5.32,Sunday,January
Diane,2021-01-04,9,Streaming,Y,Y,93.0,00:06:32,5.0,392,6.53,Monday,January
Martha,2021-01-04,9,Payment related,Y,Y,86.0,00:01:04,4.0,64,1.07,Monday,January
Dan,2021-01-04,9,Contract related,Y,Y,92.0,00:02:59,3.0,179,2.98,Monday,January
Martha,2021-01-04,10,Technical Support,Y,Y,106.0,00:05:42,3.0,342,5.7,Monday,January
Stewart,2021-01-04,10,Technical Support,Y,Y,67.0,00:02:44,3.0,164,2.73,Monday,January
Jim,2021-01-04,10,Streaming,Y,Y,90.0,00:04:17,3.0,257,4.28,Monday,January
Becky,2021-01-04,11,Streaming,Y,N,50.0,00:03:49,4.0,229,3.82,Monday,January
